review_id,viewer_id,movie_id,rating,sentiment,review_date,review_text
134,1975,10,9.3,positive,2025-02-03,A must-watch for fans of the genre. Highly recommended.
135,2016,5,5.7,neutral,2024-07-15,"It was okay, nothing too special but watchable."
136,177,7,4.2,negative,2025-01-05,Not worth the hype. Overly long and lacking substance.
137,1931,7,9.5,positive,2024-11-28,Exceeded my expectations in every way possible.
138,1157,7,7.1,positive,2024-08-29,Exceeded my expectations in every way possible.
139,4051,9,4.5,negative,2024-08-07,Would not recommend. Wasted potential on a promising premise.
140,4508,3,7.3,positive,2025-01-05,A must-watch for fans of the genre. Highly recommended.
141,2005,6,4.8,negative,2024-06-23,Disappointed with the plot. Very predictable and boring.
142,4337,5,1.3,negative,2024-06-17,The pacing was terrible and the acting felt forced throughout.
143,4768,8,9.5,positive,2024-06-10,Exceeded my expectations in every way possible.
144,527,1,9.7,positive,2025-03-16,Brilliant direction and an engaging plot from start to finish.
145,1507,7,3.6,negative,2025-02-27,Below average. The script needed a lot more work.
146,4370,4,7.1,positive,2025-01-01,A must-watch for fans of the genre. Highly recommended.
147,1344,2,6.1,neutral,2024-10-27,"Decent entertainment for a weekend, nothing groundbreaking."
148,1606,1,8.4,positive,2025-02-25,Great performances and stunning visuals throughout.
149,2299,4,5.2,neutral,2025-03-24,"Decent entertainment for a weekend, nothing groundbreaking."
150,1271,1,7.0,positive,2024-06-27,Brilliant direction and an engaging plot from start to finish.
151,325,8,7.5,positive,2024-06-04,Exceeded my expectations in every way possible.
152,4208,6,6.0,neutral,2025-01-16,"Not bad, but could have been better with tighter editing."
153,1408,2,6.7,neutral,2024-09-27,"Some good parts, some slow parts. Mixed feelings overall."
154,2705,3,8.6,positive,2024-08-18,Great performances and stunning visuals throughout.
155,4710,8,5.3,neutral,2024-08-29,Average movie with some interesting moments here and there.
156,919,5,2.0,negative,2024-10-06,Would not recommend. Wasted potential on a promising premise.
157,3014,5,6.0,neutral,2024-09-29,"Not bad, but could have been better with tighter editing."
158,2551,6,6.1,neutral,2024-10-16,"Some good parts, some slow parts. Mixed feelings overall."
159,4703,3,7.2,positive,2024-10-17,Absolutely loved this film! The storytelling was phenomenal.
160,4905,9,5.8,neutral,2024-10-02,Average movie with some interesting moments here and there.
161,2995,1,8.1,positive,2024-10-22,A must-watch for fans of the genre. Highly recommended.
162,4421,8,3.2,negative,2024-12-02,Would not recommend. Wasted potential on a promising premise.
163,257,10,9.2,positive,2025-03-25,Exceeded my expectations in every way possible.
164,1187,2,7.3,positive,2024-07-10,Great performances and stunning visuals throughout.
165,4099,1,7.0,neutral,2024-10-23,"Not bad, but could have been better with tighter editing."
166,3071,7,7.3,positive,2025-03-25,Great performances and stunning visuals throughout.
167,684,5,7.3,positive,2024-12-25,Absolutely loved this film! The storytelling was phenomenal.
168,1711,6,9.0,positive,2024-09-04,Brilliant direction and an engaging plot from start to finish.
169,1427,7,7.5,positive,2024-06-28,Exceeded my expectations in every way possible.
170,3177,5,5.2,neutral,2024-08-06,Average movie with some interesting moments here and there.
171,1858,4,6.7,neutral,2024-07-30,"Decent entertainment for a weekend, nothing groundbreaking."
172,4504,3,7.2,positive,2024-09-06,A must-watch for fans of the genre. Highly recommended.
173,3678,2,8.4,positive,2025-03-26,Absolutely loved this film! The storytelling was phenomenal.
174,2049,1,9.8,positive,2024-11-19,Exceeded my expectations in every way possible.
175,4692,6,6.3,neutral,2024-06-15,"Some good parts, some slow parts. Mixed feelings overall."
176,96,1,6.8,neutral,2024-11-18,"Some good parts, some slow parts. Mixed feelings overall."
177,1907,6,9.4,positive,2024-08-20,Exceeded my expectations in every way possible.
178,3024,2,2.5,negative,2025-01-28,The pacing was terrible and the acting felt forced throughout.
179,2161,2,5.7,neutral,2024-10-01,Average movie with some interesting moments here and there.
180,1522,9,5.3,neutral,2024-12-10,"It was okay, nothing too special but watchable."
181,3394,6,7.2,positive,2025-01-03,Absolutely loved this film! The storytelling was phenomenal.
182,1584,6,8.7,positive,2025-01-15,A must-watch for fans of the genre. Highly recommended.
183,2466,10,7.2,positive,2024-06-23,A must-watch for fans of the genre. Highly recommended.
184,1570,3,8.5,positive,2024-08-05,Absolutely loved this film! The storytelling was phenomenal.
185,4041,6,6.9,neutral,2024-08-23,"Some good parts, some slow parts. Mixed feelings overall."
186,3806,9,7.9,positive,2025-02-24,Absolutely loved this film! The storytelling was phenomenal.
187,4538,4,5.8,neutral,2024-07-21,"It was okay, nothing too special but watchable."
188,929,2,8.0,positive,2024-07-05,Absolutely loved this film! The storytelling was phenomenal.
189,2399,9,7.3,positive,2024-11-07,A must-watch for fans of the genre. Highly recommended.
190,3602,4,4.9,negative,2024-07-09,Would not recommend. Wasted potential on a promising premise.
191,3850,5,2.8,negative,2024-07-18,The pacing was terrible and the acting felt forced throughout.
192,3296,10,6.4,neutral,2024-11-12,"It was okay, nothing too special but watchable."
193,4447,6,9.0,positive,2025-01-30,A must-watch for fans of the genre. Highly recommended.
194,61,2,5.4,neutral,2024-07-17,"It was okay, nothing too special but watchable."
195,732,8,4.5,negative,2024-06-15,Below average. The script needed a lot more work.
196,302,2,9.0,positive,2024-07-24,Great performances and stunning visuals throughout.
197,1816,2,5.4,neutral,2025-02-23,"Decent entertainment for a weekend, nothing groundbreaking."
198,243,4,5.9,neutral,2024-11-10,"It was okay, nothing too special but watchable."
199,3457,5,8.1,positive,2024-06-07,Exceeded my expectations in every way possible.
200,2599,5,7.2,positive,2024-08-06,Brilliant direction and an engaging plot from start to finish.
201,3586,9,6.4,neutral,2024-08-16,"It was okay, nothing too special but watchable."
202,2296,4,1.5,negative,2024-10-17,Disappointed with the plot. Very predictable and boring.
203,572,2,5.6,neutral,2024-10-08,Average movie with some interesting moments here and there.
204,2390,7,2.3,negative,2025-01-10,Below average. The script needed a lot more work.
205,1875,1,7.4,positive,2025-01-04,Brilliant direction and an engaging plot from start to finish.
206,601,2,1.5,negative,2025-01-03,Would not recommend. Wasted potential on a promising premise.
207,1838,9,2.6,negative,2024-11-26,Would not recommend. Wasted potential on a promising premise.
208,1951,5,8.8,positive,2025-01-03,A must-watch for fans of the genre. Highly recommended.
209,4058,5,7.2,positive,2025-01-04,Great performances and stunning visuals throughout.
210,1914,2,9.3,positive,2025-01-08,Great performances and stunning visuals throughout.
211,2577,1,6.2,neutral,2025-01-07,"Not bad, but could have been better with tighter editing."
212,2360,2,8.9,positive,2024-07-20,A must-watch for fans of the genre. Highly recommended.
213,854,4,6.0,neutral,2024-10-27,Average movie with some interesting moments here and there.
214,98,8,6.3,neutral,2025-03-06,Average movie with some interesting moments here and there.
215,4388,7,6.3,neutral,2025-03-23,"It was okay, nothing too special but watchable."
216,3079,1,2.8,negative,2024-07-28,Would not recommend. Wasted potential on a promising premise.
217,113,5,5.5,neutral,2024-07-25,"Some good parts, some slow parts. Mixed feelings overall."
218,2280,5,6.3,neutral,2025-02-06,"Not bad, but could have been better with tighter editing."
219,2192,4,7.7,positive,2024-12-08,Exceeded my expectations in every way possible.
220,3540,10,2.9,negative,2025-01-31,Not worth the hype. Overly long and lacking substance.
221,2952,3,8.5,positive,2024-12-03,Exceeded my expectations in every way possible.
222,3963,6,3.7,negative,2024-06-25,Disappointed with the plot. Very predictable and boring.
223,1756,8,9.4,positive,2024-06-10,Absolutely loved this film! The storytelling was phenomenal.
224,3260,9,8.6,positive,2025-03-21,Absolutely loved this film! The storytelling was phenomenal.
225,2937,3,6.3,neutral,2025-03-17,"Not bad, but could have been better with tighter editing."
226,2869,8,7.1,positive,2025-03-20,A must-watch for fans of the genre. Highly recommended.
227,3662,3,8.6,positive,2024-12-17,Absolutely loved this film! The storytelling was phenomenal.
228,1684,10,8.2,positive,2024-08-28,Absolutely loved this film! The storytelling was phenomenal.
229,778,2,9.8,positive,2024-11-25,Exceeded my expectations in every way possible.
230,3124,3,4.2,negative,2025-02-05,Disappointed with the plot. Very predictable and boring.
231,4365,1,5.1,neutral,2024-12-19,"Some good parts, some slow parts. Mixed feelings overall."
232,1006,3,5.2,neutral,2024-07-31,Average movie with some interesting moments here and there.
233,1144,9,8.0,positive,2024-08-16,Brilliant direction and an engaging plot from start to finish.
234,667,3,5.4,neutral,2024-11-16,Average movie with some interesting moments here and there.
235,19,4,7.4,positive,2025-02-21,Exceeded my expectations in every way possible.
236,1433,8,1.5,negative,2024-07-30,Below average. The script needed a lot more work.
237,2288,3,1.4,negative,2025-02-10,Would not recommend. Wasted potential on a promising premise.
238,1652,6,5.4,neutral,2025-02-07,"Decent entertainment for a weekend, nothing groundbreaking."
239,1474,2,9.6,positive,2024-11-06,Exceeded my expectations in every way possible.
240,1517,1,6.2,neutral,2025-01-11,"It was okay, nothing too special but watchable."
241,3028,9,5.5,neutral,2025-01-20,"Decent entertainment for a weekend, nothing groundbreaking."
242,2805,1,7.9,positive,2024-11-16,Brilliant direction and an engaging plot from start to finish.
243,2704,4,3.7,negative,2024-06-02,The pacing was terrible and the acting felt forced throughout.
244,4485,8,2.5,negative,2025-02-09,Not worth the hype. Overly long and lacking substance.
245,2420,3,5.4,neutral,2025-02-06,"Some good parts, some slow parts. Mixed feelings overall."
246,1221,4,8.0,positive,2025-02-22,Brilliant direction and an engaging plot from start to finish.
247,586,3,5.8,neutral,2025-03-26,"It was okay, nothing too special but watchable."
248,836,2,8.0,positive,2024-10-01,Great performances and stunning visuals throughout.
249,3895,6,5.2,neutral,2024-09-05,"It was okay, nothing too special but watchable."
250,2132,7,7.5,positive,2025-03-23,Absolutely loved this film! The storytelling was phenomenal.
251,2363,2,9.5,positive,2024-08-27,Brilliant direction and an engaging plot from start to finish.
252,1394,1,7.5,positive,2025-03-13,Great performances and stunning visuals throughout.
253,2636,8,8.6,positive,2024-07-01,Great performances and stunning visuals throughout.
254,4791,2,2.2,negative,2024-10-06,Not worth the hype. Overly long and lacking substance.
255,4603,8,9.9,positive,2025-02-21,Brilliant direction and an engaging plot from start to finish.
256,1845,2,7.5,positive,2025-01-04,Brilliant direction and an engaging plot from start to finish.
257,3079,1,1.7,negative,2025-02-20,Not worth the hype. Overly long and lacking substance.
258,554,6,7.6,positive,2024-07-25,Brilliant direction and an engaging plot from start to finish.
259,4452,5,6.9,neutral,2024-10-17,"It was okay, nothing too special but watchable."
260,2019,9,6.1,neutral,2024-06-02,"Some good parts, some slow parts. Mixed feelings overall."
261,3586,4,10.0,positive,2025-03-06,A must-watch for fans of the genre. Highly recommended.
262,3649,1,9.4,positive,2024-10-07,Great performances and stunning visuals throughout.
263,3001,6,5.3,neutral,2024-11-05,"Decent entertainment for a weekend, nothing groundbreaking."
264,125,1,9.6,positive,2024-11-12,Exceeded my expectations in every way possible.
265,4160,9,2.3,negative,2024-08-06,Would not recommend. Wasted potential on a promising premise.
266,829,2,3.2,negative,2025-02-17,Would not recommend. Wasted potential on a promising premise.
267,4626,4,9.4,positive,2025-02-20,Brilliant direction and an engaging plot from start to finish.
268,1117,9,4.2,negative,2024-10-22,Disappointed with the plot. Very predictable and boring.
269,1360,6,9.9,positive,2025-02-19,Brilliant direction and an engaging plot from start to finish.
270,575,6,7.7,positive,2025-01-05,A must-watch for fans of the genre. Highly recommended.
271,1924,4,5.6,neutral,2024-06-18,"It was okay, nothing too special but watchable."
272,3409,8,8.1,positive,2024-07-02,Absolutely loved this film! The storytelling was phenomenal.
273,1909,2,5.4,neutral,2024-07-22,"Decent entertainment for a weekend, nothing groundbreaking."
274,765,2,6.4,neutral,2024-11-18,"It was okay, nothing too special but watchable."
275,2007,8,7.1,positive,2024-09-14,Great performances and stunning visuals throughout.
276,468,4,5.5,neutral,2025-02-05,Average movie with some interesting moments here and there.
277,69,4,9.9,positive,2025-02-04,Absolutely loved this film! The storytelling was phenomenal.
278,799,9,5.1,neutral,2025-03-25,Average movie with some interesting moments here and there.
279,2350,6,9.7,positive,2025-02-20,Absolutely loved this film! The storytelling was phenomenal.
280,791,7,7.4,positive,2024-09-02,Exceeded my expectations in every way possible.
281,2446,3,4.9,negative,2024-10-31,Below average. The script needed a lot more work.
282,1998,3,9.8,positive,2024-12-02,A must-watch for fans of the genre. Highly recommended.
283,3479,6,1.2,negative,2024-08-08,Would not recommend. Wasted potential on a promising premise.
284,1793,7,5.0,neutral,2025-01-12,"Some good parts, some slow parts. Mixed feelings overall."
285,3689,3,5.3,neutral,2024-06-18,"It was okay, nothing too special but watchable."
286,4959,1,6.1,neutral,2024-09-28,"Decent entertainment for a weekend, nothing groundbreaking."
287,4401,2,7.0,positive,2025-03-19,A must-watch for fans of the genre. Highly recommended.
288,2155,5,6.1,neutral,2024-11-12,"Decent entertainment for a weekend, nothing groundbreaking."
289,4413,2,10.0,positive,2025-01-15,Exceeded my expectations in every way possible.
290,2578,5,7.1,positive,2024-06-29,Great performances and stunning visuals throughout.
291,3031,6,4.6,negative,2025-01-01,Would not recommend. Wasted potential on a promising premise.
292,1428,1,7.0,positive,2024-07-30,A must-watch for fans of the genre. Highly recommended.
293,4927,10,6.6,neutral,2024-10-03,"Decent entertainment for a weekend, nothing groundbreaking."
294,2110,2,7.2,positive,2024-11-03,Absolutely loved this film! The storytelling was phenomenal.
295,4415,1,4.0,negative,2024-12-16,Would not recommend. Wasted potential on a promising premise.
296,2088,5,6.1,neutral,2025-01-08,"It was okay, nothing too special but watchable."
297,402,1,7.8,positive,2024-06-21,Brilliant direction and an engaging plot from start to finish.
298,3378,5,1.1,negative,2024-12-01,Disappointed with the plot. Very predictable and boring.
299,1729,5,8.2,positive,2025-03-02,Exceeded my expectations in every way possible.
300,3329,1,1.7,negative,2024-10-23,Would not recommend. Wasted potential on a promising premise.
301,1164,5,3.3,negative,2024-12-20,Not worth the hype. Overly long and lacking substance.
302,496,2,8.3,positive,2024-09-07,A must-watch for fans of the genre. Highly recommended.
303,649,2,6.2,neutral,2025-02-15,"Decent entertainment for a weekend, nothing groundbreaking."
304,3147,6,9.4,positive,2024-08-30,Absolutely loved this film! The storytelling was phenomenal.
305,963,6,5.1,neutral,2025-03-17,"Not bad, but could have been better with tighter editing."
306,892,6,7.9,positive,2024-06-12,Absolutely loved this film! The storytelling was phenomenal.
307,2104,2,9.3,positive,2025-01-08,Absolutely loved this film! The storytelling was phenomenal.
308,3967,7,6.9,neutral,2024-09-05,"Decent entertainment for a weekend, nothing groundbreaking."
309,1874,3,3.5,negative,2024-10-05,Disappointed with the plot. Very predictable and boring.
310,475,3,8.2,positive,2024-12-03,Exceeded my expectations in every way possible.
311,4178,5,7.3,positive,2024-10-28,Exceeded my expectations in every way possible.
312,2994,9,8.3,positive,2024-09-01,Brilliant direction and an engaging plot from start to finish.
313,4443,4,7.3,positive,2024-09-03,A must-watch for fans of the genre. Highly recommended.
314,1984,8,6.7,neutral,2024-08-05,"It was okay, nothing too special but watchable."
315,4880,3,9.3,positive,2025-03-24,A must-watch for fans of the genre. Highly recommended.
316,757,5,9.9,positive,2024-11-01,A must-watch for fans of the genre. Highly recommended.
317,164,1,5.0,negative,2025-03-22,Not worth the hype. Overly long and lacking substance.
318,4460,5,5.7,neutral,2024-12-25,"Decent entertainment for a weekend, nothing groundbreaking."
319,2370,9,7.5,positive,2025-02-13,Brilliant direction and an engaging plot from start to finish.
320,3905,4,8.9,positive,2025-01-31,Absolutely loved this film! The storytelling was phenomenal.
321,2087,10,8.3,positive,2025-01-27,Exceeded my expectations in every way possible.
322,2635,4,3.1,negative,2024-10-19,Below average. The script needed a lot more work.
323,817,9,1.4,negative,2025-01-19,Would not recommend. Wasted potential on a promising premise.
324,4683,8,9.5,positive,2024-11-04,Great performances and stunning visuals throughout.
325,3280,1,8.3,positive,2024-07-12,Exceeded my expectations in every way possible.
326,2989,3,5.4,neutral,2024-12-12,"Some good parts, some slow parts. Mixed feelings overall."
327,1726,2,2.4,negative,2025-01-16,The pacing was terrible and the acting felt forced throughout.
328,127,9,8.5,positive,2024-11-29,Brilliant direction and an engaging plot from start to finish.
329,957,1,8.0,positive,2024-12-09,Exceeded my expectations in every way possible.
330,1742,10,3.9,negative,2024-12-30,Below average. The script needed a lot more work.
331,3649,8,9.6,positive,2025-02-02,A must-watch for fans of the genre. Highly recommended.
332,2912,8,2.1,negative,2025-01-26,Disappointed with the plot. Very predictable and boring.
333,2992,1,1.5,negative,2024-07-14,Disappointed with the plot. Very predictable and boring.
334,2312,1,7.8,positive,2025-03-03,A must-watch for fans of the genre. Highly recommended.
335,3191,4,7.4,positive,2025-02-07,A must-watch for fans of the genre. Highly recommended.
336,4503,5,9.8,positive,2024-11-30,A must-watch for fans of the genre. Highly recommended.
337,3879,7,9.1,positive,2024-12-27,A must-watch for fans of the genre. Highly recommended.
338,1506,1,9.1,positive,2024-11-18,A must-watch for fans of the genre. Highly recommended.
339,1768,1,9.7,positive,2025-01-17,Brilliant direction and an engaging plot from start to finish.
340,1171,8,7.4,positive,2024-12-17,Exceeded my expectations in every way possible.
341,4080,1,6.8,neutral,2025-03-12,"Some good parts, some slow parts. Mixed feelings overall."
