region_id,city,movie_id,views,engagement_score,revenue_usd,month
151,Chicago,7,333279,8.05,1401725.98,2025-01
152,Houston,3,208914,1.64,1996902.53,2024-11
153,Denver,7,392714,8.03,21470.04,2025-04
154,Houston,8,53771,7.22,1333345.59,2024-08
155,Miami,4,444739,3.86,1455113.0,2024-10
156,Miami,5,60007,2.57,441114.51,2024-07
157,Seattle,4,294481,9.82,188140.23,2024-12
158,Los Angeles,9,407733,1.06,1540329.62,2024-11
159,Boston,7,113169,5.26,83219.68,2024-09
160,Denver,1,15433,6.69,235644.72,2024-07
161,New York,6,287926,1.27,1215156.55,2025-03
162,Chicago,7,389610,2.47,814664.43,2024-12
163,Seattle,9,18551,8.77,1798666.31,2025-03
164,San Francisco,1,105641,5.8,1467333.17,2024-10
165,Seattle,8,469450,8.16,142133.91,2025-01
166,San Francisco,4,433356,3.45,456385.7,2024-10
167,San Francisco,3,343733,1.95,1687665.64,2024-08
168,Miami,1,416255,6.9,518272.04,2025-02
169,Los Angeles,9,283666,3.06,1910605.31,2024-10
170,Los Angeles,1,55532,1.71,1539157.81,2024-09
171,Denver,5,259182,1.31,629082.91,2024-07
172,Boston,9,171158,6.69,788075.64,2024-07
173,Seattle,3,44284,4.35,503382.57,2024-11
174,Denver,10,399872,9.77,1808906.98,2025-01
175,Los Angeles,9,166330,5.31,584348.6,2025-03
176,Seattle,7,492073,2.15,99862.38,2025-03
177,Phoenix,6,45686,5.91,1514896.82,2025-03
178,San Francisco,4,269867,1.61,357320.96,2024-10
179,Miami,4,46018,8.38,541133.57,2024-07
180,New York,10,361928,4.11,1060683.27,2025-04
181,Phoenix,2,362767,9.24,1583250.13,2025-04
182,Boston,8,212779,3.86,470823.1,2024-07
183,Phoenix,9,85988,5.09,274236.44,2024-12
184,San Francisco,1,399116,2.71,1275614.79,2025-03
185,New York,2,36820,4.68,294256.24,2025-03
186,Denver,5,19117,8.86,1473746.06,2024-11
187,Boston,3,380048,2.52,903066.94,2024-12
188,San Francisco,7,66928,1.34,1372390.57,2024-09
189,Boston,5,302287,3.54,740598.33,2024-08
190,Houston,2,495864,6.4,1085150.42,2025-04
191,Phoenix,9,393454,3.78,1768307.18,2025-02
192,New York,8,34432,7.35,481509.15,2024-07
193,Chicago,2,186959,4.64,60452.0,2024-08
194,Houston,10,309540,3.3,1639563.6,2025-02
195,Seattle,6,319704,5.59,700975.3,2025-01
196,Chicago,2,368596,6.64,1307386.7,2024-09
197,New York,7,281204,2.08,26740.94,2025-01
198,Boston,7,54345,2.75,1630982.49,2024-10
199,Phoenix,4,169722,8.06,1708041.32,2024-08
200,New York,3,392800,9.64,624207.66,2025-02
201,New York,5,246474,7.5,1329116.48,2024-07
202,Chicago,4,412105,5.66,1085226.34,2024-08
203,Houston,10,376215,2.94,267756.63,2025-04
204,Miami,2,292492,5.42,499465.86,2024-09
205,Los Angeles,1,275187,9.36,176121.07,2024-11
206,Phoenix,1,436122,6.36,428312.05,2024-07
207,Seattle,10,497806,7.19,1090194.48,2025-02
208,Chicago,2,133795,8.44,574543.96,2024-10
209,Phoenix,7,91947,5.06,951220.26,2024-11
210,Chicago,6,158457,9.12,1546088.24,2024-10
211,Houston,1,259387,2.14,1308788.88,2024-08
212,Chicago,6,227361,6.12,1877597.32,2025-01
213,Seattle,2,373025,3.57,782178.96,2025-04
214,San Francisco,7,58107,3.32,329705.88,2025-01
215,Seattle,1,472803,3.83,377044.53,2025-04
216,Chicago,1,108995,2.98,1991196.05,2024-07
217,Boston,9,311782,8.07,1072587.7,2024-10
218,Boston,7,417362,2.02,662271.89,2024-11
219,Phoenix,4,388570,3.37,1103595.4,2024-08
220,Los Angeles,9,161781,8.89,1642953.56,2024-09
221,Boston,9,368041,7.56,350321.07,2024-08
222,New York,8,66081,2.61,1072676.36,2024-08
223,Los Angeles,7,150068,9.88,1032035.16,2025-02
224,Miami,10,278643,8.53,452494.77,2025-02
225,Houston,3,16412,8.27,716882.39,2024-12
226,Houston,10,494937,8.97,631538.03,2024-11
227,New York,3,366477,5.2,1066381.3,2024-12
228,Seattle,1,259063,3.48,836524.51,2025-03
229,Los Angeles,2,120601,8.26,1944715.64,2025-04
230,Miami,5,46758,6.58,1519820.81,2025-03
231,San Francisco,6,477589,2.77,1145326.08,2024-08
232,Denver,6,492589,6.74,1260980.44,2024-07
233,Boston,6,214341,6.69,1731907.33,2025-03
234,Miami,1,347829,1.67,424502.79,2024-11
235,Houston,5,311436,3.15,1486225.9,2025-02
236,Los Angeles,4,394219,3.27,483958.73,2024-08
237,San Francisco,10,111349,6.83,817253.72,2024-12
238,Houston,6,325178,3.36,875046.62,2024-12
239,Denver,6,95834,7.33,1446096.1,2024-08
240,Houston,4,400387,9.1,1339492.13,2025-02
241,Boston,7,3873,2.29,617032.49,2024-12
242,San Francisco,9,130478,7.82,224609.54,2025-04
243,Los Angeles,7,155586,8.23,874816.35,2024-08
244,Chicago,2,389189,2.35,497668.56,2024-10
245,Los Angeles,1,370202,6.51,1683480.97,2025-01
246,Boston,3,307534,3.83,232957.86,2024-11
247,Boston,1,310948,2.6,1935337.32,2024-08
248,Miami,10,491936,7.96,85234.89,2024-07
249,Boston,2,128533,7.95,745843.95,2024-10
250,Los Angeles,2,78352,8.7,1441849.35,2024-11
251,Denver,3,463741,7.98,1453061.21,2024-07
252,Houston,2,412308,7.82,715604.75,2024-10
253,Chicago,6,350498,9.0,1647663.25,2024-10
254,New York,4,135301,4.63,1025375.68,2024-12
255,San Francisco,1,399241,8.54,1648643.32,2024-10
256,Seattle,1,161517,1.92,1640746.55,2024-10
257,Denver,5,21743,6.06,1560235.27,2024-07
258,New York,5,333452,8.62,246781.09,2025-01
259,Seattle,5,312043,9.86,1980864.16,2024-11
260,Phoenix,4,253107,7.53,1694529.99,2024-07
261,Boston,3,190674,8.0,556593.35,2024-12
262,Chicago,9,423726,4.99,1174145.74,2024-08
263,Phoenix,9,271402,1.65,1423993.51,2024-10
264,Phoenix,2,195969,5.38,1186281.91,2025-04
265,Chicago,10,42119,2.58,1112829.03,2025-02
266,Los Angeles,7,330877,5.42,147769.2,2024-07
267,Denver,10,294332,4.2,1788349.68,2024-09
268,Los Angeles,9,30860,3.42,477817.49,2025-04
269,Seattle,10,82496,6.69,1619990.13,2025-02
270,Seattle,10,103426,3.31,225046.46,2025-02
271,San Francisco,3,117868,9.82,402427.62,2024-12
272,Chicago,7,364967,1.07,1818357.81,2024-11
273,Miami,7,317682,4.43,1825450.08,2024-12
274,Denver,4,396382,3.8,1465778.58,2024-09
275,Houston,3,409791,9.75,1347461.54,2024-08
276,Seattle,9,496453,8.06,576749.7,2024-08
277,Boston,8,172769,3.24,1753267.22,2025-03
278,Phoenix,1,307100,9.51,1923017.18,2024-11
279,Chicago,4,190711,8.39,420450.01,2024-10
280,Seattle,6,466439,8.72,550812.42,2025-03
281,Los Angeles,7,80793,2.86,1849573.16,2024-09
282,Denver,1,261266,5.6,1271102.08,2025-01
283,Miami,10,42712,1.39,1367055.72,2025-03
284,Denver,3,316407,7.84,514877.71,2024-09
285,Boston,10,305522,7.43,1764031.38,2025-01
286,Houston,10,434935,4.78,905300.7,2025-04
287,Chicago,4,342581,9.41,1966923.12,2024-12
288,Los Angeles,2,87917,4.73,1008430.28,2024-10
289,Houston,2,458008,4.99,1399513.16,2024-10
290,New York,2,255860,1.66,1721099.36,2025-04
291,Boston,2,439824,1.4,644680.82,2025-02
292,Phoenix,6,438584,8.5,81011.55,2025-04
293,Denver,5,455875,9.11,1778122.15,2024-11
294,Boston,3,235482,3.04,684448.54,2024-12
295,Boston,4,60481,6.52,1969257.43,2025-01
296,New York,3,54387,5.98,1451818.65,2025-04
297,Boston,6,343094,5.19,1028664.97,2025-03
298,Boston,1,18964,7.15,843670.91,2025-03
299,New York,8,107427,6.47,1896793.91,2024-09
300,Houston,9,50561,8.01,1933053.16,2025-02
301,Miami,5,413959,1.45,1924139.57,2025-03
302,Miami,10,444614,5.36,288950.82,2025-02
303,Phoenix,9,186806,4.43,441603.0,2025-01
304,Chicago,7,92468,6.06,379560.7,2024-11
305,Miami,8,205913,8.06,175879.28,2025-03
306,Chicago,2,43639,7.09,301239.37,2025-02
307,Miami,6,309005,7.45,1332450.02,2024-08
308,Chicago,7,348193,1.1,637120.97,2024-09
309,Phoenix,9,151813,1.14,1170953.35,2025-04
310,Los Angeles,5,261344,9.0,1186818.08,2024-09
311,Seattle,6,29162,4.4,1539409.1,2024-09
312,Houston,8,317546,4.38,1918784.63,2024-10
313,San Francisco,8,271207,2.63,1474782.52,2024-08
314,Miami,4,84430,6.2,164187.37,2024-08
315,Seattle,9,221731,4.45,1279634.99,2025-04
316,Miami,10,13771,6.09,1724043.88,2024-12
317,Los Angeles,7,267420,7.59,1633105.77,2024-11
318,New York,6,20603,9.74,1226603.67,2024-09
319,Denver,8,88473,5.81,1940988.49,2024-10
320,Phoenix,6,467816,6.75,1875543.86,2024-07
321,Phoenix,8,24097,2.98,246493.13,2025-04
322,Phoenix,2,199564,3.72,1441609.69,2024-11
323,Houston,4,438528,8.45,1099038.13,2024-11
324,Chicago,5,225987,4.96,116544.81,2025-03
325,Phoenix,6,6303,3.47,976764.16,2024-10
326,Denver,2,345038,2.14,793420.3,2025-04
327,Miami,2,51785,1.1,503881.91,2024-11
328,Miami,6,453384,9.06,1536905.7,2025-03
329,Chicago,5,364991,4.74,1398404.34,2025-02
330,New York,2,239718,5.53,198916.49,2024-12
331,Phoenix,4,71385,1.72,1703322.28,2024-08
332,Chicago,7,152485,2.01,86890.94,2025-02
333,Boston,6,214285,5.41,1528488.57,2024-12
334,Denver,7,298170,7.97,139631.31,2024-09
335,New York,2,117997,8.83,1017138.17,2024-11
336,Chicago,3,458914,6.15,286823.59,2025-01
337,Boston,7,50849,6.34,644701.12,2024-09
338,San Francisco,5,196453,9.43,881192.18,2025-03
339,Los Angeles,4,226158,2.15,295023.68,2025-01
340,Denver,10,89556,5.02,1150027.58,2024-12
341,Phoenix,2,476517,2.9,375459.91,2025-02
342,Boston,5,391422,4.86,486171.01,2025-03
343,Houston,7,331847,2.84,1156007.59,2024-07
344,San Francisco,1,254726,2.97,620322.56,2024-08
345,Chicago,1,152982,4.95,806932.85,2025-04
346,San Francisco,3,134384,9.86,807383.64,2025-01
347,Houston,3,44523,7.89,780329.33,2024-10
348,Miami,1,271512,8.94,892305.43,2025-01
349,San Francisco,2,44267,9.55,420648.66,2024-09
350,Denver,5,138927,6.45,1279872.82,2024-07
351,Los Angeles,5,274736,2.68,1877150.75,2024-08
352,Miami,9,21229,7.27,1566959.38,2025-02
353,Boston,1,332994,1.6,1694429.43,2025-02
354,Houston,6,237083,3.43,22435.31,2024-08
355,Chicago,3,224884,3.03,465299.58,2024-07
356,New York,2,315954,7.96,1449811.13,2025-04
357,Miami,9,22482,6.61,286079.47,2025-03
358,Chicago,1,20714,9.48,657011.01,2025-03
359,San Francisco,7,321733,1.82,876362.55,2024-12
360,Boston,5,198367,2.68,145285.44,2024-09
361,Chicago,2,228098,8.15,363372.29,2024-07
362,Miami,2,199245,2.6,944911.36,2024-07
363,New York,3,238018,1.63,471266.22,2025-01
364,Chicago,6,128198,5.85,574607.26,2025-01
365,Seattle,6,446095,2.33,113896.49,2024-08
366,New York,3,210320,8.92,36962.28,2024-10
367,New York,8,396654,4.44,1222192.59,2024-07
368,New York,9,244164,2.54,479106.57,2025-04
369,San Francisco,2,249286,5.82,1296532.28,2024-07
370,Los Angeles,5,446510,2.83,1982389.65,2024-09
371,Chicago,9,263083,1.99,1108536.98,2025-01
372,Phoenix,3,183877,5.71,859100.92,2024-11
373,Phoenix,9,205905,2.72,1264191.92,2025-03
374,Denver,8,373320,1.87,753483.11,2024-08
375,New York,1,461265,9.02,1047018.24,2024-10
376,San Francisco,7,246797,7.2,1479256.06,2024-08
377,San Francisco,3,146217,1.2,1788470.45,2025-03
378,Houston,6,69934,5.48,635010.69,2024-08
379,Denver,2,345512,2.82,1663738.97,2025-04
380,Seattle,8,69131,7.8,891346.53,2024-11
381,Los Angeles,3,459801,3.9,804272.58,2024-11
382,Miami,8,411120,5.69,1811665.4,2025-04
383,Houston,6,408960,5.27,329620.05,2024-12
384,Seattle,4,257358,8.27,88210.87,2024-09
385,San Francisco,2,480003,2.42,1064181.14,2024-08
386,Boston,7,98227,8.14,1454749.28,2024-10
387,Seattle,6,408778,7.48,426128.95,2025-03
388,Phoenix,8,242123,5.01,483498.35,2025-01
389,Chicago,4,148714,2.6,700857.45,2024-09
390,Miami,10,224415,4.82,802.5,2024-11
391,Denver,6,485948,2.97,692553.6,2024-12
392,Denver,4,291653,2.18,41119.55,2025-02
393,Boston,4,418044,4.39,372848.68,2025-03
394,Boston,10,264818,9.19,1815730.48,2024-12
395,San Francisco,1,459602,4.24,1167628.1,2024-07
396,Seattle,4,129400,5.38,774302.73,2025-02
397,Boston,2,15214,3.48,1119409.92,2024-12
398,San Francisco,8,323544,9.95,959592.37,2024-09
399,Los Angeles,7,77989,7.89,356319.87,2024-07
400,Miami,9,349640,1.3,1418377.93,2024-10
401,San Francisco,6,323423,5.99,894459.12,2024-11
402,Chicago,2,322010,2.51,1467481.94,2025-01
403,Phoenix,7,208695,4.59,566601.19,2024-12
404,Miami,10,131316,4.01,1614562.53,2025-03
405,Phoenix,4,191705,5.02,1711866.55,2025-03
406,Phoenix,8,404869,7.71,744953.01,2024-11
407,Los Angeles,6,318776,5.47,1298588.93,2024-11
408,Los Angeles,4,160128,4.16,78404.34,2024-12
409,Houston,4,455159,8.72,1913026.71,2024-12
410,Seattle,7,370793,4.32,914176.57,2024-09
411,Seattle,3,448934,8.68,1523875.06,2024-09
412,Seattle,6,282148,3.99,1702237.12,2024-09
413,San Francisco,7,345623,1.4,181054.66,2025-03
414,San Francisco,8,428794,8.16,1633363.26,2024-07
415,New York,5,184478,9.18,1004608.51,2025-03
416,Boston,4,144256,1.72,1196981.98,2024-08
417,Denver,7,151222,9.3,473163.39,2025-04
418,New York,8,213612,3.91,265648.53,2024-11
419,Miami,10,472305,5.58,1803037.04,2024-11
420,Boston,9,410047,4.07,1496905.43,2024-12
421,New York,7,243454,7.03,1589091.39,2024-11
422,Phoenix,7,438692,9.3,1676157.16,2025-04
423,Phoenix,6,420707,6.31,302051.8,2025-03
424,San Francisco,10,393418,9.59,1856690.65,2024-08
425,New York,7,43636,9.64,1324557.22,2024-11
426,Houston,4,211632,4.47,1697648.35,2024-09
427,Miami,9,422183,8.8,1937601.02,2024-07
428,Denver,10,38478,1.17,1589041.4,2025-03
429,Phoenix,9,459680,2.22,215838.42,2025-04
430,Phoenix,7,357608,7.75,370430.71,2024-09
431,San Francisco,7,208382,2.49,730621.1,2024-10
432,New York,6,473886,2.98,14087.82,2024-08
433,Houston,3,259288,1.1,980715.32,2024-09
434,San Francisco,5,491460,4.6,311144.72,2024-10
435,New York,9,269781,4.5,231373.55,2024-12
436,Miami,10,84378,3.98,952004.95,2024-10
437,Houston,4,311848,7.76,679497.7,2025-02
438,San Francisco,3,456370,2.95,1928604.88,2025-02
439,Boston,7,192805,6.23,162597.63,2025-04
440,Los Angeles,8,28243,5.16,716686.3,2025-02
441,Phoenix,1,324100,2.97,1760860.18,2024-07
442,Chicago,5,74212,1.29,174700.17,2025-02
443,New York,3,167224,9.7,780389.64,2024-10
444,Seattle,5,23997,4.68,1645371.31,2025-03
445,Seattle,4,222344,1.09,745943.66,2024-11
446,Denver,1,402181,8.33,826595.19,2025-02
447,New York,4,45113,1.35,1405156.53,2024-08
448,Los Angeles,2,462425,7.0,980567.16,2025-02
449,Seattle,2,106564,5.58,1549483.13,2024-09
450,Boston,4,333810,6.02,1481228.33,2024-10
451,San Francisco,9,470111,4.87,721410.01,2024-08
452,Chicago,9,139396,5.82,1343882.98,2024-12
453,New York,6,226698,3.24,1710954.05,2024-10
454,New York,7,231695,5.71,444532.98,2024-11
455,Los Angeles,2,12514,8.88,878957.98,2024-11
456,Chicago,10,143714,8.04,757093.21,2024-11
457,Los Angeles,2,427385,5.4,1771159.13,2024-10
458,Boston,4,285400,4.52,1767470.04,2025-03
459,San Francisco,9,71469,7.73,700953.49,2024-09
460,Boston,9,74477,8.12,235703.01,2024-09
461,Miami,2,225189,7.62,1354880.12,2024-09
462,Houston,4,409119,2.49,515836.6,2024-08
463,Boston,5,202306,8.52,1402403.65,2025-02
464,Miami,6,57106,5.71,1524021.99,2024-08
465,San Francisco,8,379337,5.37,69015.59,2024-11
466,Los Angeles,2,324319,1.13,13775.9,2025-03
467,Houston,2,90070,4.55,338006.7,2024-10
468,Boston,7,214841,5.92,963349.96,2024-09
469,Boston,4,214888,3.23,248505.67,2025-02
470,Miami,7,494531,5.91,1098933.6,2025-03
471,Miami,9,66994,6.85,1679136.65,2024-07
472,New York,6,76524,2.41,1023765.66,2024-09
473,Phoenix,2,472226,9.94,321657.43,2024-12
474,Seattle,4,241144,3.28,1866249.43,2024-09
475,Seattle,7,35314,5.59,1446250.17,2025-02
476,New York,9,382170,5.44,1939454.93,2025-02
477,Los Angeles,2,200381,1.66,512578.43,2024-10
478,San Francisco,3,234851,1.05,36323.43,2025-03
479,Denver,9,4436,8.71,426884.57,2024-11
480,New York,10,253690,9.15,218936.37,2024-09
481,Miami,4,143840,9.58,1961178.48,2024-12
482,Phoenix,9,10720,1.05,1814735.68,2024-09
483,Boston,2,141568,8.29,1777190.92,2024-09
484,Seattle,1,282806,6.0,111738.02,2025-01
485,New York,8,492354,2.2,417048.64,2025-04
486,Denver,1,285753,9.47,1235182.68,2024-12
487,Chicago,1,328389,9.03,1220522.55,2025-03
488,Los Angeles,2,472742,6.71,616785.97,2024-07
489,New York,2,379202,9.95,1099712.41,2024-08
490,New York,10,60200,2.63,837660.47,2025-02
491,Seattle,2,463971,10.0,1089754.03,2025-03
492,Chicago,9,364166,7.2,1328388.52,2024-07
493,Houston,2,300629,2.85,1478510.24,2024-08
494,New York,4,168203,9.91,624128.08,2024-09
495,Houston,2,172264,9.98,1972331.82,2025-02
496,Denver,1,255513,3.04,1859834.08,2024-08
497,Boston,3,289326,9.01,1262029.76,2024-09
498,Boston,2,129851,9.78,1457825.82,2024-10
499,Los Angeles,7,101837,9.08,1264633.06,2025-03
500,Phoenix,1,262987,4.81,81635.51,2025-04
501,Houston,7,403644,3.54,630811.03,2025-03
502,San Francisco,7,310133,2.75,522643.22,2024-07
503,Denver,9,282230,3.93,838799.5,2024-08
504,Miami,10,130917,8.15,1897302.09,2024-09
505,Boston,4,41237,6.22,1390242.88,2024-09
506,Seattle,4,21568,2.7,1198847.49,2025-04
507,Phoenix,1,491210,8.86,217204.96,2024-10
508,Seattle,2,423915,4.82,75629.63,2024-10
509,Houston,10,236525,7.07,1992942.68,2024-07
510,San Francisco,9,262721,4.68,1624683.79,2024-12
511,Seattle,6,104550,6.85,275007.04,2024-11
512,Los Angeles,6,254899,5.3,679193.45,2024-07
513,Los Angeles,5,355967,8.66,1659606.43,2024-11
514,Los Angeles,7,295974,8.6,1139302.88,2024-07
515,Denver,8,366120,1.7,397455.49,2024-08
516,Chicago,8,189341,6.68,76972.6,2025-04
517,Chicago,5,442442,3.64,998658.75,2024-10
518,Denver,3,77648,5.12,1288985.58,2024-08
519,San Francisco,6,324058,1.32,106942.46,2024-12
520,Houston,8,222150,6.83,455915.49,2025-03
521,Los Angeles,7,230031,5.4,1632660.81,2024-09
522,New York,9,2323,6.58,540302.95,2024-09
523,Denver,2,199701,5.18,1407965.97,2025-01
524,Boston,2,117212,7.84,97458.21,2024-12
525,Houston,10,109706,3.42,368231.74,2024-07
526,Seattle,8,314861,3.61,1929710.05,2024-10
527,Houston,2,204819,5.33,150434.28,2025-04
528,Miami,9,473587,3.76,1907908.87,2024-08
529,Houston,4,387137,6.17,1565380.33,2024-09
