activity_id,viewer_id,movie_id,watch_date,watch_duration_min,completion_pct,device
113,2033,9,2024-08-30,87,88.8,Tablet
114,2731,5,2024-12-11,62,42.8,Smart TV
115,4760,2,2024-12-21,63,62.4,Desktop
116,4955,5,2025-01-02,16,11.0,Smart TV
117,3144,10,2025-03-07,101,62.7,Desktop
118,210,5,2024-10-15,114,78.6,Tablet
119,1243,9,2024-07-04,44,44.9,Tablet
120,4595,1,2024-11-21,24,23.5,Mobile
121,1310,7,2024-11-30,23,22.8,Desktop
122,4446,7,2025-03-07,40,39.6,Desktop
123,4702,1,2024-09-22,69,67.6,Smart TV
124,4364,9,2025-02-12,56,57.1,Desktop
125,3571,10,2024-08-10,15,9.3,Smart TV
126,1240,7,2025-02-25,66,65.3,Tablet
127,559,10,2025-01-04,152,94.4,Mobile
128,731,10,2024-11-01,21,13.0,Mobile
129,4805,4,2024-10-06,33,20.8,Smart TV
130,1676,10,2024-12-26,46,28.6,Mobile
131,3893,4,2024-12-26,59,37.1,Mobile
132,2037,6,2024-06-23,52,36.6,Smart TV
133,774,6,2024-12-23,135,95.1,Smart TV
134,2952,1,2024-10-21,26,25.5,Smart TV
135,2148,8,2024-08-03,23,19.0,Mobile
136,259,7,2024-09-07,45,44.6,Smart TV
137,4647,5,2024-12-31,12,8.3,Tablet
138,3967,2,2024-07-04,65,64.4,Desktop
139,4696,5,2025-03-07,142,97.9,Mobile
140,24,9,2024-12-23,74,75.5,Tablet
141,794,9,2024-10-18,23,23.5,Mobile
142,3390,8,2025-02-20,39,32.2,Mobile
143,1514,4,2024-12-19,88,55.3,Tablet
144,3459,5,2025-03-03,144,99.3,Desktop
145,4502,10,2025-01-12,106,65.8,Smart TV
146,4647,9,2024-11-07,53,54.1,Mobile
147,4820,6,2024-10-12,92,64.8,Smart TV
148,1017,1,2024-08-09,19,18.6,Desktop
149,3914,1,2024-12-02,92,90.2,Desktop
150,365,7,2024-11-27,93,92.1,Mobile
151,644,2,2025-01-03,65,64.4,Mobile
152,4406,4,2025-03-12,157,98.7,Tablet
153,2576,4,2024-10-06,112,70.4,Tablet
154,4217,3,2025-03-24,17,18.5,Smart TV
155,4912,6,2024-06-29,100,70.4,Tablet
156,403,8,2024-06-13,5,4.1,Smart TV
157,4345,3,2025-03-25,43,46.7,Smart TV
158,2403,3,2024-12-10,11,12.0,Tablet
159,3534,5,2025-02-10,116,80.0,Tablet
160,3571,1,2024-10-13,46,45.1,Desktop
161,2579,1,2025-01-03,44,43.1,Smart TV
162,3630,8,2024-11-22,101,83.5,Mobile
163,2528,10,2024-11-11,120,74.5,Desktop
164,4986,4,2024-06-15,134,84.3,Tablet
165,3028,3,2024-10-11,36,39.1,Tablet
166,1510,7,2025-01-01,21,20.8,Smart TV
167,889,5,2024-12-21,18,12.4,Smart TV
168,2843,10,2024-09-26,160,99.4,Mobile
169,3486,1,2024-08-22,93,91.2,Desktop
170,1247,2,2024-10-29,27,26.7,Desktop
171,3919,8,2025-01-29,59,48.8,Smart TV
172,2589,7,2024-07-05,22,21.8,Tablet
173,648,1,2024-08-30,18,17.6,Smart TV
174,3052,2,2025-02-13,16,15.8,Smart TV
175,3181,9,2024-07-01,71,72.4,Mobile
176,888,9,2025-01-29,6,6.1,Tablet
177,4052,8,2025-03-14,96,79.3,Desktop
178,1417,4,2025-03-23,25,15.7,Smart TV
179,112,8,2024-10-18,105,86.8,Tablet
180,2156,3,2024-08-24,57,62.0,Tablet
181,909,2,2024-08-24,23,22.8,Mobile
182,2059,4,2024-09-26,140,88.1,Tablet
183,3524,6,2024-11-25,63,44.4,Tablet
184,3779,9,2025-03-11,11,11.2,Smart TV
185,2169,3,2025-02-19,52,56.5,Desktop
186,1011,5,2025-03-13,37,25.5,Desktop
187,2075,9,2024-12-03,46,46.9,Smart TV
188,3517,1,2024-10-09,9,8.8,Smart TV
189,3828,6,2024-11-21,78,54.9,Desktop
190,913,4,2024-08-11,24,15.1,Desktop
191,2339,3,2025-03-03,62,67.4,Tablet
192,3693,10,2025-01-11,26,16.1,Tablet
193,2405,4,2024-08-25,67,42.1,Tablet
194,1570,3,2025-03-12,8,8.7,Tablet
195,3890,3,2024-11-29,14,15.2,Mobile
196,552,9,2024-12-16,12,12.2,Desktop
197,2695,1,2024-09-08,37,36.3,Mobile
198,1881,7,2024-11-14,82,81.2,Desktop
199,2712,5,2024-09-26,63,43.4,Smart TV
200,851,1,2025-02-19,9,8.8,Mobile
201,3885,7,2025-02-14,61,60.4,Smart TV
202,3482,9,2024-11-24,13,13.3,Desktop
203,2084,5,2024-12-02,70,48.3,Smart TV
204,439,5,2025-02-28,114,78.6,Desktop
205,541,9,2025-01-30,51,52.0,Desktop
206,4526,8,2024-07-25,95,78.5,Mobile
207,4881,6,2024-08-03,66,46.5,Desktop
208,4116,9,2025-02-18,63,64.3,Smart TV
209,4653,9,2025-03-24,54,55.1,Tablet
210,4215,10,2024-08-19,140,87.0,Mobile
211,3943,5,2025-03-24,85,58.6,Desktop
212,2247,8,2025-01-17,18,14.9,Desktop
213,1906,5,2024-06-19,101,69.7,Mobile
214,3124,10,2024-10-08,143,88.8,Desktop
215,1669,5,2025-03-13,38,26.2,Desktop
216,1334,10,2025-02-22,120,74.5,Desktop
217,846,4,2024-08-17,150,94.3,Mobile
218,247,9,2024-12-18,68,69.4,Desktop
219,1413,10,2025-02-20,58,36.0,Mobile
220,1738,10,2024-08-25,147,91.3,Desktop
221,959,2,2024-06-08,10,9.9,Desktop
222,18,4,2024-06-09,49,30.8,Mobile
223,3780,9,2025-01-09,54,55.1,Tablet
224,245,2,2025-02-16,10,9.9,Tablet
225,92,7,2025-03-08,20,19.8,Mobile
226,3053,5,2024-12-14,53,36.6,Mobile
227,1928,5,2025-03-11,20,13.8,Smart TV
228,697,6,2025-02-17,67,47.2,Mobile
229,3450,8,2025-03-09,40,33.1,Desktop
230,2535,4,2024-12-27,85,53.5,Smart TV
231,30,2,2024-09-10,9,8.9,Mobile
232,3312,8,2024-09-02,111,91.7,Mobile
233,2699,6,2024-12-12,76,53.5,Tablet
234,161,2,2024-06-24,47,46.5,Tablet
235,3195,7,2025-01-03,90,89.1,Smart TV
236,107,2,2024-12-19,14,13.9,Smart TV
237,740,5,2024-09-24,27,18.6,Smart TV
238,4438,1,2024-11-13,62,60.8,Mobile
239,4846,7,2024-10-16,83,82.2,Tablet
240,124,1,2024-12-06,71,69.6,Desktop
241,4492,7,2024-09-12,58,57.4,Smart TV
242,3096,9,2025-03-01,23,23.5,Tablet
243,4972,3,2025-01-22,54,58.7,Mobile
244,4424,9,2025-01-08,34,34.7,Mobile
245,3976,8,2024-07-08,72,59.5,Smart TV
246,4845,1,2025-01-06,52,51.0,Desktop
247,636,6,2025-03-19,121,85.2,Tablet
248,4872,7,2024-09-30,7,6.9,Desktop
249,1088,1,2025-01-07,16,15.7,Smart TV
250,4277,8,2025-03-23,113,93.4,Desktop
251,2480,7,2024-07-11,6,5.9,Mobile
252,1141,10,2024-07-08,99,61.5,Tablet
253,4182,6,2024-11-08,90,63.4,Mobile
254,3744,8,2024-10-27,67,55.4,Mobile
255,2432,3,2024-12-15,67,72.8,Desktop
256,4439,2,2025-03-10,17,16.8,Desktop
257,4986,5,2024-12-24,28,19.3,Desktop
258,1451,7,2024-08-23,39,38.6,Desktop
259,2739,10,2025-02-18,127,78.9,Mobile
260,2166,8,2024-12-05,11,9.1,Smart TV
261,4535,3,2024-11-25,18,19.6,Smart TV
262,372,6,2024-11-11,129,90.8,Tablet
263,24,9,2025-03-23,21,21.4,Desktop
264,4071,3,2024-06-01,51,55.4,Mobile
265,3272,1,2024-09-21,13,12.7,Smart TV
266,433,7,2025-01-22,40,39.6,Desktop
267,2282,4,2025-01-27,39,24.5,Desktop
268,4588,9,2024-11-15,25,25.5,Smart TV
269,729,1,2025-02-04,12,11.8,Desktop
270,3708,3,2024-10-02,38,41.3,Mobile
271,594,3,2024-12-17,58,63.0,Smart TV
272,540,1,2024-07-01,66,64.7,Smart TV
273,484,9,2024-07-17,87,88.8,Mobile
274,9,10,2024-08-31,100,62.1,Tablet
275,706,2,2024-11-09,89,88.1,Desktop
276,358,7,2024-12-03,15,14.9,Desktop
277,4666,8,2024-08-09,11,9.1,Desktop
278,3788,1,2024-07-07,9,8.8,Tablet
279,121,10,2024-06-03,85,52.8,Tablet
280,4131,5,2025-03-21,27,18.6,Smart TV
281,2681,9,2024-10-29,96,98.0,Desktop
282,4276,3,2025-01-26,77,83.7,Tablet
283,4695,10,2024-09-18,147,91.3,Tablet
284,4876,6,2024-10-10,38,26.8,Smart TV
285,947,8,2024-12-29,103,85.1,Mobile
286,1158,10,2025-01-29,136,84.5,Desktop
287,678,5,2024-09-18,142,97.9,Mobile
288,2723,1,2024-06-24,38,37.3,Desktop
289,1817,6,2024-09-02,108,76.1,Mobile
290,2432,8,2024-09-18,119,98.3,Smart TV
291,4293,8,2024-10-02,37,30.6,Smart TV
292,4342,3,2024-07-01,58,63.0,Tablet
293,3567,5,2024-06-20,144,99.3,Tablet
294,4820,8,2025-03-08,29,24.0,Desktop
295,4440,5,2025-02-13,81,55.9,Desktop
296,1449,9,2024-11-10,43,43.9,Desktop
297,2441,7,2024-12-25,85,84.2,Desktop
298,2711,9,2024-11-19,11,11.2,Mobile
299,3640,8,2024-10-20,109,90.1,Mobile
300,3679,7,2024-11-19,51,50.5,Smart TV
301,3253,2,2024-08-21,51,50.5,Desktop
302,80,10,2024-06-18,51,31.7,Smart TV
303,349,6,2025-02-08,32,22.5,Smart TV
304,4916,1,2024-07-23,90,88.2,Desktop
305,821,2,2025-01-23,15,14.9,Tablet
306,157,2,2024-08-12,81,80.2,Smart TV
307,3188,5,2024-06-28,118,81.4,Desktop
308,195,3,2024-12-25,86,93.5,Smart TV
309,2196,4,2024-07-13,85,53.5,Desktop
310,1108,1,2024-09-02,15,14.7,Tablet
311,488,6,2024-06-06,96,67.6,Desktop
312,416,7,2024-07-11,94,93.1,Smart TV
313,1758,2,2024-09-02,48,47.5,Smart TV
314,3606,10,2024-11-21,71,44.1,Mobile
315,360,8,2025-02-08,41,33.9,Mobile
316,1567,8,2024-08-06,95,78.5,Tablet
317,406,10,2024-11-29,145,90.1,Smart TV
318,539,1,2024-06-25,34,33.3,Mobile
319,1772,7,2024-11-03,41,40.6,Mobile
320,971,4,2024-06-02,153,96.2,Smart TV
321,258,6,2024-09-18,37,26.1,Tablet
322,2329,1,2024-07-03,69,67.6,Mobile
323,769,9,2024-09-22,43,43.9,Smart TV
324,4469,10,2024-12-01,49,30.4,Smart TV
325,4646,4,2024-11-22,100,62.9,Desktop
326,3178,1,2024-07-07,51,50.0,Mobile
327,3989,1,2025-03-19,57,55.9,Mobile
328,4680,1,2025-01-06,55,53.9,Mobile
329,3170,2,2025-01-11,74,73.3,Tablet
330,1980,5,2025-02-01,16,11.0,Smart TV
331,1588,3,2025-03-19,32,34.8,Smart TV
332,1844,5,2024-06-11,100,69.0,Mobile
333,3756,7,2024-12-11,67,66.3,Desktop
334,66,6,2024-09-20,88,62.0,Desktop
335,598,6,2025-02-08,7,4.9,Desktop
336,2090,7,2024-08-06,45,44.6,Tablet
337,867,3,2025-01-22,41,44.6,Smart TV
338,501,3,2024-09-04,79,85.9,Desktop
339,2521,4,2024-11-17,61,38.4,Mobile
340,262,2,2025-03-20,6,5.9,Mobile
341,381,7,2024-11-30,91,90.1,Desktop
342,4432,1,2025-03-12,86,84.3,Tablet
343,1991,9,2024-06-08,37,37.8,Desktop
344,3146,2,2024-12-19,16,15.8,Tablet
345,54,4,2024-10-23,39,24.5,Smart TV
346,4609,8,2025-03-12,47,38.8,Tablet
347,719,6,2024-08-27,52,36.6,Tablet
348,3238,5,2024-06-24,47,32.4,Desktop
349,1468,4,2024-06-05,112,70.4,Desktop
350,2898,8,2025-02-22,52,43.0,Desktop
351,3785,2,2025-01-24,37,36.6,Mobile
352,9,10,2025-01-14,37,23.0,Mobile
353,1328,2,2024-09-24,49,48.5,Mobile
354,3535,3,2024-08-26,29,31.5,Mobile
355,554,10,2024-11-28,48,29.8,Mobile
356,4005,9,2024-06-03,78,79.6,Smart TV
357,3554,10,2024-07-25,29,18.0,Mobile
358,1733,9,2025-03-02,60,61.2,Smart TV
359,4822,6,2024-11-08,25,17.6,Tablet
360,772,8,2024-12-13,26,21.5,Mobile
361,2783,1,2024-09-30,101,99.0,Tablet
362,4947,9,2024-09-19,94,95.9,Mobile
363,4987,9,2024-08-19,53,54.1,Tablet
364,2262,3,2024-11-17,70,76.1,Smart TV
365,787,1,2025-02-19,89,87.3,Desktop
366,1332,3,2024-06-01,66,71.7,Mobile
367,1752,3,2024-10-29,75,81.5,Desktop
368,1274,4,2024-07-01,39,24.5,Smart TV
369,2284,2,2025-02-05,40,39.6,Smart TV
370,4300,4,2024-07-27,38,23.9,Mobile
371,4730,7,2024-09-09,51,50.5,Mobile
372,107,3,2024-08-05,85,92.4,Mobile
373,2270,4,2024-08-16,17,10.7,Desktop
374,3596,3,2025-02-10,21,22.8,Smart TV
375,1997,3,2024-12-08,18,19.6,Desktop
376,1071,1,2025-02-13,102,100.0,Mobile
377,386,7,2024-12-26,47,46.5,Smart TV
378,24,7,2024-06-30,30,29.7,Smart TV
379,3605,10,2025-01-20,64,39.8,Tablet
380,4789,6,2024-07-20,106,74.6,Desktop
381,188,3,2024-08-22,14,15.2,Mobile
382,607,7,2025-01-27,92,91.1,Smart TV
383,335,7,2024-08-21,82,81.2,Desktop
384,2160,2,2024-10-05,8,7.9,Smart TV
385,3172,2,2024-12-18,84,83.2,Desktop
386,665,3,2024-09-12,77,83.7,Mobile
387,115,7,2025-02-12,67,66.3,Mobile
388,4565,6,2024-12-06,108,76.1,Tablet
389,333,7,2024-12-14,63,62.4,Desktop
390,690,7,2025-03-20,24,23.8,Tablet
391,496,6,2024-11-03,97,68.3,Smart TV
392,297,5,2025-01-12,81,55.9,Tablet
393,2509,7,2024-09-05,30,29.7,Desktop
394,2817,10,2024-06-05,111,68.9,Smart TV
395,1371,10,2025-01-19,101,62.7,Desktop
396,3157,3,2024-08-08,26,28.3,Tablet
397,2421,2,2024-08-15,16,15.8,Smart TV
398,1126,4,2024-11-23,110,69.2,Smart TV
399,831,5,2025-02-19,43,29.7,Mobile
400,4868,9,2024-07-21,68,69.4,Tablet
401,1967,3,2024-11-07,86,93.5,Mobile
402,3116,10,2024-10-13,151,93.8,Desktop
403,2776,4,2024-10-01,148,93.1,Desktop
404,1530,5,2024-12-05,122,84.1,Mobile
405,1933,6,2024-09-24,141,99.3,Desktop
406,285,5,2024-10-02,56,38.6,Mobile
407,2997,2,2025-02-26,95,94.1,Tablet
408,3063,7,2024-10-15,8,7.9,Smart TV
409,3199,8,2025-03-16,104,86.0,Smart TV
410,3716,8,2024-12-23,47,38.8,Smart TV
411,2954,6,2024-10-01,56,39.4,Tablet
412,2219,6,2024-12-19,125,88.0,Tablet
413,3132,10,2024-07-03,133,82.6,Tablet
414,1037,4,2024-07-11,76,47.8,Desktop
415,3031,6,2024-06-12,78,54.9,Mobile
416,2510,10,2025-02-16,90,55.9,Mobile
417,3270,6,2024-08-13,52,36.6,Smart TV
418,3253,6,2024-11-02,102,71.8,Tablet
419,1963,3,2024-06-07,19,20.7,Tablet
420,1963,5,2024-12-06,39,26.9,Mobile
421,3153,5,2024-08-02,51,35.2,Smart TV
422,2170,1,2025-03-06,90,88.2,Desktop
423,3404,4,2024-07-30,45,28.3,Smart TV
424,1749,6,2024-06-29,84,59.2,Tablet
425,1803,10,2025-01-21,110,68.3,Desktop
426,149,2,2024-06-16,92,91.1,Mobile
427,2919,8,2024-08-25,72,59.5,Desktop
428,3018,2,2025-03-09,15,14.9,Tablet
429,2301,2,2024-11-10,76,75.2,Desktop
430,2289,4,2024-08-30,97,61.0,Tablet
431,2128,9,2024-10-15,63,64.3,Tablet
432,4074,1,2024-09-08,19,18.6,Desktop
433,4334,1,2024-12-28,93,91.2,Smart TV
434,3644,3,2025-01-23,33,35.9,Tablet
435,3523,3,2024-12-22,78,84.8,Smart TV
436,1598,7,2025-01-26,29,28.7,Mobile
437,508,2,2024-06-24,40,39.6,Smart TV
438,4400,3,2024-07-03,61,66.3,Mobile
439,4253,6,2024-06-24,88,62.0,Mobile
440,3964,1,2024-08-31,24,23.5,Desktop
441,1527,2,2024-11-11,44,43.6,Tablet
442,3486,4,2024-06-14,35,22.0,Smart TV
443,1012,4,2024-09-20,151,95.0,Tablet
444,712,9,2025-02-09,85,86.7,Desktop
445,997,1,2024-09-10,30,29.4,Tablet
446,2876,10,2024-08-18,93,57.8,Tablet
447,4923,3,2024-09-04,8,8.7,Tablet
448,1048,4,2024-12-09,93,58.5,Smart TV
449,1216,4,2024-08-26,65,40.9,Desktop
450,1558,8,2025-02-23,34,28.1,Desktop
451,2979,1,2025-01-29,41,40.2,Desktop
452,1059,6,2024-09-25,62,43.7,Tablet
453,4156,7,2024-11-27,16,15.8,Mobile
454,751,8,2024-06-26,55,45.5,Tablet
455,1536,1,2024-12-17,70,68.6,Tablet
456,1298,2,2024-09-11,69,68.3,Tablet
457,116,1,2025-02-07,17,16.7,Mobile
458,818,3,2024-11-29,55,59.8,Desktop
459,4590,9,2024-09-02,91,92.9,Mobile
460,3562,8,2024-10-13,90,74.4,Smart TV
461,1641,7,2024-11-14,66,65.3,Tablet
462,1190,5,2024-09-16,38,26.2,Desktop
463,1323,3,2025-02-16,23,25.0,Mobile
464,4977,2,2024-10-28,101,100.0,Smart TV
465,4590,3,2025-03-17,49,53.3,Desktop
466,2898,3,2024-12-25,27,29.3,Mobile
467,2766,7,2024-09-17,28,27.7,Smart TV
468,1985,1,2025-02-01,54,52.9,Desktop
469,940,2,2025-02-28,87,86.1,Mobile
470,4029,5,2024-10-20,106,73.1,Mobile
471,3978,4,2024-11-09,6,3.8,Desktop
472,1000,9,2025-03-15,44,44.9,Smart TV
473,588,3,2024-09-21,6,6.5,Tablet
474,470,3,2025-02-16,56,60.9,Smart TV
475,4677,7,2025-01-29,34,33.7,Smart TV
476,2571,7,2024-10-20,13,12.9,Tablet
477,2609,1,2024-10-07,51,50.0,Mobile
478,552,3,2024-12-06,85,92.4,Mobile
479,2193,7,2024-07-07,97,96.0,Mobile
480,2703,10,2025-01-06,92,57.1,Smart TV
481,749,1,2025-03-23,77,75.5,Tablet
482,4841,10,2024-11-12,59,36.6,Tablet
483,2931,9,2024-09-03,68,69.4,Mobile
484,5,8,2024-08-10,107,88.4,Mobile
485,3561,5,2024-08-21,48,33.1,Mobile
486,4065,2,2024-07-20,84,83.2,Desktop
487,2519,2,2024-07-08,24,23.8,Desktop
488,3523,10,2024-12-24,67,41.6,Tablet
489,3719,9,2024-12-25,77,78.6,Mobile
490,3888,10,2024-09-19,138,85.7,Mobile
491,4019,3,2025-02-03,59,64.1,Desktop
492,1519,2,2024-08-07,82,81.2,Tablet
493,232,7,2025-01-22,91,90.1,Smart TV
494,4381,10,2025-01-30,140,87.0,Tablet
495,1704,6,2025-03-20,65,45.8,Smart TV
496,4937,4,2024-07-17,34,21.4,Tablet
497,1544,6,2024-06-16,84,59.2,Smart TV
498,1022,3,2024-08-14,34,37.0,Mobile
499,4802,3,2024-07-06,20,21.7,Smart TV
500,3984,1,2024-12-11,49,48.0,Smart TV
501,2328,5,2025-02-01,121,83.4,Mobile
502,1150,1,2025-01-02,5,4.9,Tablet
503,2533,7,2025-03-06,44,43.6,Tablet
504,2440,8,2025-03-21,56,46.3,Tablet
505,2536,10,2024-07-16,120,74.5,Tablet
506,2848,4,2025-01-05,103,64.8,Mobile
507,271,5,2024-06-12,89,61.4,Tablet
508,2579,4,2024-09-21,95,59.7,Tablet
509,4824,4,2024-12-15,14,8.8,Smart TV
510,1528,10,2025-01-24,114,70.8,Tablet
511,4633,2,2024-12-01,19,18.8,Desktop
512,1825,10,2024-11-12,102,63.4,Desktop
513,3039,1,2025-01-25,93,91.2,Mobile
514,2866,3,2024-07-27,52,56.5,Desktop
515,3791,9,2024-12-29,25,25.5,Desktop
516,1924,7,2024-07-11,43,42.6,Smart TV
517,4297,10,2025-03-14,79,49.1,Smart TV
518,2857,10,2024-10-23,105,65.2,Tablet
519,2446,7,2024-11-17,36,35.6,Smart TV
520,2519,5,2024-10-10,61,42.1,Mobile
521,3241,5,2025-03-19,36,24.8,Desktop
522,2118,10,2024-10-20,67,41.6,Tablet
523,4710,5,2024-10-17,62,42.8,Tablet
524,4308,5,2025-03-15,9,6.2,Desktop
525,392,3,2024-11-16,33,35.9,Tablet
526,3908,3,2024-09-20,82,89.1,Smart TV
527,1292,2,2024-07-24,36,35.6,Mobile
528,1058,10,2024-07-02,119,73.9,Desktop
529,356,2,2025-02-01,66,65.3,Smart TV
530,2849,5,2024-09-07,137,94.5,Smart TV
531,2759,7,2025-01-28,52,51.5,Desktop
532,2003,3,2024-06-06,9,9.8,Mobile
533,4643,5,2025-01-08,76,52.4,Smart TV
534,1216,7,2024-09-23,13,12.9,Mobile
535,2915,1,2024-07-25,23,22.5,Desktop
536,3781,2,2024-11-18,31,30.7,Tablet
537,4874,6,2024-12-18,140,98.6,Desktop
538,3862,6,2024-06-02,91,64.1,Tablet
539,4993,2,2024-09-20,78,77.2,Mobile
540,4527,5,2024-10-31,97,66.9,Desktop
541,3249,5,2024-12-16,88,60.7,Desktop
542,1826,2,2025-03-05,14,13.9,Smart TV
543,2430,1,2024-09-02,31,30.4,Desktop
544,1112,7,2024-06-18,25,24.8,Desktop
545,3748,4,2024-10-28,84,52.8,Desktop
546,1704,5,2024-07-26,109,75.2,Mobile
547,3693,5,2025-03-24,64,44.1,Tablet
548,3247,9,2025-03-04,93,94.9,Mobile
549,2571,1,2024-08-12,75,73.5,Smart TV
550,4773,7,2024-06-26,101,100.0,Desktop
551,3992,2,2025-01-11,87,86.1,Smart TV
552,2159,2,2024-09-05,64,63.4,Mobile
553,2610,5,2024-06-30,58,40.0,Desktop
554,3004,4,2024-06-25,142,89.3,Desktop
555,4994,3,2024-10-22,76,82.6,Tablet
556,1485,7,2025-01-16,48,47.5,Smart TV
557,1647,3,2024-08-08,30,32.6,Desktop
