campaign_id,movie_id,channel,spend_usd,impressions,clicks,conversions,campaign_month
92,4,Email,72440.84,3162650,148867,15600,2024-08
93,2,TV,97153.63,3062454,34181,2543,2025-01
94,4,TV,36021.17,422993,10328,1337,2024-10
95,7,Influencer,83366.24,226249,4646,129,2025-01
96,9,Search Ads,37605.95,2324745,65109,4562,2025-02
97,4,Influencer,14983.57,3419027,134407,19930,2024-10
98,3,Email,4654.33,4886151,201955,7921,2024-08
99,4,Display,10044.13,3983651,41111,2703,2025-02
100,2,Social Media,24971.24,4066035,165532,23664,2024-12
101,7,TV,14088.03,4877589,226731,9220,2025-04
102,1,Display,88652.9,3531772,18795,1811,2024-10
103,1,Search Ads,86675.73,3121020,66721,3351,2025-04
104,4,Email,54316.44,4549962,129295,15522,2025-04
105,8,Email,30198.7,1190333,18016,1932,2025-01
106,8,Social Media,76098.48,2541014,48460,3901,2025-04
107,9,Email,40144.06,1315488,14669,1082,2024-08
108,10,Social Media,44033.77,1673809,16615,469,2024-11
109,6,Email,27215.22,1619232,47521,1437,2024-07
110,5,Display,25239.45,4010058,148991,4967,2024-11
111,3,Display,19127.43,3063112,66287,2525,2024-08
112,5,Email,90173.66,1547465,75623,1605,2024-08
113,10,TV,67409.36,2472856,87376,6119,2025-02
114,5,Email,51316.51,1596686,78660,8092,2024-10
115,7,Display,52556.62,1398425,55071,6394,2024-07
116,1,TV,85948.92,110319,5006,665,2025-04
117,8,Social Media,56173.71,1898544,72264,6537,2024-08
118,9,Email,47536.96,648862,31008,3417,2025-02
119,1,Email,96318.87,2384208,39707,1009,2024-11
120,3,Search Ads,69029.77,2106054,71405,10473,2024-09
121,4,Search Ads,71554.9,3511977,64836,9458,2025-02
122,6,Social Media,17360.17,2595149,103875,10628,2024-10
123,5,Influencer,50862.52,1761542,32954,2477,2025-04
124,8,Display,32742.31,1583473,18695,1149,2024-11
125,2,Display,77785.34,1332560,45071,5347,2024-11
126,6,Email,55291.62,2034207,79722,2857,2025-01
127,6,Email,14301.23,345258,6742,335,2024-12
128,9,Influencer,54604.29,2846623,140404,13569,2024-07
129,5,Email,22753.42,2256430,59182,6446,2025-04
130,2,Social Media,58147.31,4664566,93509,10431,2024-08
131,3,TV,23087.66,468535,19315,2445,2024-08
132,2,TV,90032.32,888207,38618,4635,2025-02
133,10,Display,42538.35,3000214,142670,16944,2024-10
134,10,Influencer,84152.31,848055,28639,1123,2024-10
135,3,TV,22630.38,800377,9169,571,2025-03
136,10,Influencer,10454.72,473373,21599,1227,2025-03
137,6,Email,66437.99,4526617,120239,16468,2025-03
138,9,Social Media,29879.88,2308250,92902,12395,2024-07
139,2,Email,54635.59,3202130,74959,4722,2024-10
140,4,Search Ads,62591.59,3181081,38187,5112,2025-04
141,6,Email,97605.41,3239394,56431,4278,2025-04
142,10,Search Ads,68311.34,3625031,169300,18690,2024-07
143,8,Search Ads,36909.15,4397325,132311,8876,2024-09
144,10,TV,37453.42,744722,17421,1845,2024-07
145,6,Search Ads,87013.16,4008327,49917,4930,2024-10
146,7,Search Ads,92288.65,343801,11032,1154,2025-02
147,1,Social Media,98438.61,1128476,22910,558,2024-09
148,8,Email,77507.71,114866,4984,283,2025-03
149,5,Influencer,51666.83,1103309,12752,465,2024-12
150,6,Influencer,59679.5,1887630,84370,7116,2025-02
151,6,Search Ads,51006.54,4065522,57877,1557,2025-03
152,8,Social Media,40197.69,4031250,199769,14494,2024-10
153,8,Search Ads,87624.1,1602256,39899,5035,2025-03
154,10,Influencer,83202.36,1712022,40050,5387,2025-04
155,2,Search Ads,25834.79,3400223,130436,16613,2024-10
156,4,TV,99144.02,4062796,116533,16834,2025-04
157,4,Email,27908.5,3876876,182547,25595,2024-07
158,4,Display,44036.89,3164555,35869,2436,2024-11
159,8,Display,31584.85,2284835,66821,5451,2024-11
160,4,Display,34537.03,4759645,82825,7053,2025-03
161,9,TV,75991.44,54075,1588,201,2024-07
162,7,Email,59026.98,1629297,20331,1566,2024-11
163,6,Search Ads,72734.38,555591,14674,971,2024-12
164,3,Email,83657.79,1940581,62162,1779,2024-12
165,4,Social Media,14720.39,2702369,16939,399,2025-03
166,8,Display,58004.43,3919267,182298,26577,2024-07
167,4,Search Ads,66552.18,3955898,191222,15606,2024-09
168,9,Search Ads,88451.99,963296,41152,2635,2025-01
169,9,Email,21613.83,1663414,61197,6188,2025-03
170,7,Social Media,73730.31,3609959,93657,5177,2024-11
171,3,TV,50881.99,4463383,126889,6518,2025-03
172,6,Social Media,68916.11,967648,45444,3501,2025-01
173,8,Social Media,93722.71,343349,12341,717,2025-03
174,10,TV,80522.68,4347476,24228,2590,2024-12
175,5,Search Ads,8127.19,1959751,17229,617,2025-04
176,7,Influencer,41232.24,1691555,67726,5287,2025-01
177,2,Social Media,74254.26,4528004,221241,12952,2025-02
178,10,Email,55301.77,839446,10686,848,2025-04
179,9,Influencer,13118.48,3571460,70155,9314,2025-03
180,3,Display,51375.76,1857306,83813,2385,2024-07
181,9,Email,30084.81,855262,15233,1573,2025-01
182,4,Social Media,84830.5,2002710,31362,1468,2025-01
183,3,TV,50377.56,4882617,34714,1753,2024-11
184,5,Social Media,64536.16,505462,19336,1856,2025-04
185,6,Email,98306.23,734167,10133,846,2024-09
186,10,Search Ads,93874.4,299958,10068,460,2024-07
187,9,Search Ads,95678.79,4021258,137110,18298,2025-04
188,1,Search Ads,68517.48,1312372,31105,3846,2024-07
189,7,Email,50171.64,1973592,65513,1874,2024-09
190,3,TV,73011.59,2320497,92982,6727,2024-12
191,2,TV,64974.17,4107524,133286,11943,2024-09
192,4,Social Media,19692.78,994587,35620,5247,2025-03
193,7,Search Ads,71586.44,1561813,55524,5975,2024-08
194,2,Email,98517.45,2458694,112432,14801,2024-10
195,1,Search Ads,99332.84,4278689,176599,22086,2025-02
196,2,Search Ads,84469.21,614846,15988,1335,2025-03
197,6,Email,59348.86,2068454,22635,1263,2024-09
198,8,TV,66491.47,1734270,60905,1893,2025-02
199,5,Search Ads,52171.69,3267270,42461,1466,2025-02
200,8,Display,42100.14,3632120,73502,9413,2024-09
201,6,Social Media,7688.32,2144829,95864,7010,2024-09
202,2,Social Media,7352.5,1580825,13767,316,2024-11
203,5,Email,87682.88,401475,15513,1096,2024-12
204,5,Social Media,95048.82,1572413,8324,905,2024-09
205,10,Email,78877.25,2136967,45240,3112,2025-01
206,9,TV,33929.5,3908420,19971,794,2025-02
207,3,TV,61196.87,4357164,182958,22780,2024-10
208,8,Social Media,17781.69,2055468,76115,11167,2025-04
209,3,Email,55574.8,3118997,44184,2596,2024-08
210,9,Influencer,50128.78,1031468,14076,1576,2024-08
211,6,Search Ads,68156.73,1022955,22303,3118,2024-11
212,9,Display,56360.23,2104717,92072,12316,2024-08
213,9,Social Media,21203.01,866687,20099,2686,2024-11
214,2,TV,77241.1,586954,5670,849,2024-09
215,1,Display,39116.26,428798,13533,1499,2024-08
216,7,Display,5804.15,1157895,43591,5277,2024-11
217,4,Email,94093.49,4994414,130525,11285,2025-04
218,10,Search Ads,78466.29,888999,21877,1099,2024-11
219,1,Influencer,54836.22,3083903,65833,3986,2024-12
220,6,Email,44542.96,4100345,35886,2782,2025-01
221,3,Search Ads,29887.59,4835552,174445,9219,2024-11
222,9,TV,78146.18,4936127,110508,3744,2024-08
223,10,Influencer,33203.65,4480825,142439,10634,2024-10
224,1,Influencer,70629.04,1348124,30275,1595,2024-09
225,5,Social Media,43637.1,173469,7212,624,2024-08
226,4,Influencer,80763.28,2923556,33733,2650,2024-08
227,4,TV,6021.91,4387210,183831,26986,2024-10
228,6,TV,69741.1,1543135,27486,2254,2024-09
229,7,Display,34818.99,4921067,160949,22390,2024-10
230,8,Search Ads,61842.53,1603219,15457,1088,2025-03
231,9,Email,11118.67,4535325,180665,15593,2024-07
232,9,Email,46246.88,2435311,37257,3513,2025-02
233,9,TV,70341.54,2326515,52932,7725,2025-01
234,8,Social Media,71044.35,2859679,102421,12911,2024-08
235,3,TV,98411.74,2415892,112519,15261,2025-02
236,3,Social Media,4917.05,3094967,67600,5352,2024-07
237,9,TV,72309.29,1975718,46776,4273,2025-04
238,4,Influencer,6167.08,4843997,118417,5765,2024-09
239,2,Search Ads,4148.39,4535048,118376,8724,2025-04
240,6,Search Ads,27617.14,2126312,80437,10930,2024-07
241,1,Display,96741.18,913337,10720,902,2024-10
242,7,TV,89632.06,3366462,43892,6427,2024-09
243,1,Influencer,50170.48,2178630,104755,5888,2025-04
244,8,Social Media,95538.06,3608128,94446,6366,2025-01
245,3,Display,15369.11,4966406,59506,8087,2024-12
246,6,Display,67752.17,3067759,61243,6259,2025-01
247,1,Social Media,89143.62,4320908,45453,1870,2024-12
248,4,Social Media,42518.48,2699712,96886,6294,2024-11
249,4,Influencer,3020.37,2343265,32722,4423,2025-02
250,6,Influencer,16628.92,3779699,164828,13483,2024-10
251,5,Email,23495.76,1487293,26578,1205,2025-03
252,10,Social Media,90285.46,1096310,17662,698,2024-08
253,9,Social Media,74645.74,534358,3553,164,2024-08
254,9,Search Ads,55004.87,4390186,181952,22791,2025-04
255,6,Display,68837.61,2891937,114561,5134,2024-08
256,9,Email,14230.47,4696573,83680,10473,2024-07
257,1,Email,86993.75,4646153,206767,16605,2025-04
258,9,TV,73798.64,786968,24028,3014,2025-02
259,10,Email,22697.49,1965757,75273,4702,2024-07
260,5,Social Media,61923.44,1187910,16042,834,2024-12
261,4,Influencer,96768.26,4762360,186765,21930,2025-04
262,9,Display,54857.18,2048926,99394,4701,2024-10
263,6,Influencer,67187.31,1937357,38148,3363,2024-09
264,6,Influencer,61640.65,4924370,231615,22767,2025-03
265,10,Email,7714.0,4350841,126745,7864,2024-08
266,3,Search Ads,35649.22,3453818,93138,6746,2025-02
267,8,Social Media,20692.01,322037,7625,540,2024-11
268,9,TV,80670.09,4026981,30988,3982,2024-07
269,10,Search Ads,96883.36,4547179,206428,20482,2025-04
270,8,Display,29860.81,2275834,56739,2716,2025-04
271,8,Social Media,57655.46,2019412,56470,7955,2024-08
272,1,Email,25130.06,84079,1174,92,2025-04
273,8,Social Media,11738.2,832861,31799,3094,2024-12
274,1,TV,46065.49,3766456,55524,1258,2024-09
275,3,Search Ads,49310.66,594032,29113,4182,2024-12
276,1,Search Ads,37381.07,4374817,77451,11611,2024-09
277,9,Influencer,13708.47,631830,6482,824,2025-01
278,1,Display,62006.93,580542,17398,1328,2024-07
279,6,Display,61958.8,2597952,22320,2633,2024-09
280,9,TV,77071.55,754255,35133,3248,2024-11
281,9,TV,35683.71,1760138,66305,6209,2024-08
282,1,Email,62962.97,2940081,41112,5484,2024-10
283,4,Social Media,30096.34,2408318,73821,10088,2025-03
284,4,Email,7534.34,431081,11294,1139,2024-12
285,1,Display,41207.6,609991,26900,2600,2024-09
286,4,TV,39430.78,2530603,109801,14173,2024-10
287,10,Social Media,61869.69,1115889,21494,2033,2025-02
288,8,Social Media,87248.22,255929,8803,1207,2024-12
289,3,TV,19415.05,1176376,29839,2465,2024-09
290,7,Social Media,91165.25,1684234,76756,10943,2025-02
291,9,Search Ads,11911.97,4724914,37077,4389,2024-12
292,6,Search Ads,53027.12,4138852,115103,2738,2024-11
293,9,Search Ads,64740.06,2700071,15012,913,2024-12
294,4,TV,31756.81,609624,23643,3346,2024-12
295,5,Social Media,47870.65,3322967,30320,4397,2024-07
296,5,Search Ads,33554.04,4911489,150314,14819,2024-08
297,10,Social Media,88287.4,1447823,17839,2005,2024-08
298,1,Display,2286.07,3921491,73429,4819,2024-12
299,1,Social Media,76567.66,1995514,10848,1139,2025-01
300,4,Search Ads,54195.94,3408425,138321,14483,2024-07
301,5,Display,31021.9,195901,6637,270,2024-07
302,9,Email,26899.34,4388362,207203,30918,2024-07
303,6,Social Media,99223.19,1697525,39308,1490,2025-03
304,9,Email,61923.76,1191013,44662,5805,2025-03
305,10,Search Ads,68291.49,3723726,72750,2068,2024-09
306,4,Social Media,38935.09,2506550,43746,3007,2024-07
307,1,Influencer,13466.34,983680,37619,5283,2025-02
308,6,Display,44133.42,2875067,133204,6370,2024-08
309,3,Social Media,64748.82,3954207,178106,21230,2025-03
310,10,Search Ads,74310.08,1452778,37144,3528,2024-11
311,8,Email,56074.84,1472069,45137,3951,2024-09
312,2,Display,40806.95,83936,870,57,2025-02
313,2,Display,35467.28,3796933,163606,3960,2025-03
314,1,TV,13132.89,3849621,52383,3964,2025-04
315,1,Search Ads,74053.59,4708368,24957,1068,2025-04
316,10,Display,3050.21,4456727,152818,5480,2024-07
317,6,Email,67428.84,3726608,86704,12575,2024-11
318,1,Search Ads,89649.09,4696226,137670,11713,2025-02
319,2,Influencer,17092.19,4819451,68548,4107,2024-07
320,7,Social Media,52478.73,2513393,75625,7275,2024-11
321,4,Influencer,42568.13,477606,19841,1816,2024-11
322,4,Email,22834.64,1418872,13460,1607,2024-10
323,6,Search Ads,98230.48,4088444,97838,8364,2024-10
324,4,TV,51193.76,2886826,114013,9295,2024-09
325,6,Email,79148.64,2998841,144278,18032,2024-10
326,6,TV,79114.72,4449489,68126,1639,2024-11
327,8,TV,8119.63,4831856,201300,30114,2024-11
328,3,TV,87298.71,2093416,22478,1866,2024-07
329,3,Search Ads,19390.73,1156916,54504,1964,2025-02
330,3,Influencer,89372.62,79168,2737,110,2025-03
331,7,Social Media,97400.23,3985442,162580,17583,2024-07
332,2,Social Media,63868.17,1175544,9111,1184,2025-03
333,10,TV,29437.0,212810,8816,618,2025-02
334,4,Influencer,47919.59,3885376,78391,10675,2025-01
335,5,Search Ads,19977.68,4073038,106607,14940,2024-08
336,8,Search Ads,44781.79,2817051,104412,13938,2024-09
337,4,Display,51966.78,171978,7154,391,2025-04
338,4,Influencer,9887.11,2482575,119112,5280,2024-07
339,10,Social Media,76081.16,4499495,110739,14925,2025-03
340,6,Email,6303.0,4530683,43849,3582,2024-09
341,1,Social Media,71672.89,2694780,90850,7672,2024-11
342,7,Search Ads,93002.67,294099,3763,173,2025-03
343,3,Display,38443.15,670580,5425,729,2025-02
344,2,TV,65542.77,2056525,97829,9518,2024-10
345,4,Display,95161.13,3595029,124082,11868,2024-12
346,3,Influencer,45596.2,3562053,102395,9997,2024-10
347,9,Email,8135.32,262000,2198,305,2024-12
348,5,Influencer,27883.31,3154671,123333,14549,2025-02
349,8,Social Media,87180.09,1859920,84283,2626,2025-02
350,1,Display,81794.02,4066446,73559,9911,2025-04
351,8,Search Ads,19075.51,1205851,34566,1602,2025-01
352,7,Search Ads,15494.42,217236,7859,933,2024-07
353,10,Search Ads,70596.87,3886158,48566,6747,2024-08
354,3,TV,88170.12,3076025,126062,15203,2024-08
355,6,Display,94077.87,3662359,41718,2036,2024-10
356,5,Search Ads,58518.01,4517728,122610,5414,2024-11
357,5,Search Ads,58965.26,4959799,210640,27824,2025-01
358,5,Email,75739.06,4916216,196053,14351,2024-11
359,6,Email,56539.55,63698,1038,143,2024-12
360,10,Search Ads,65912.02,4454202,144754,3099,2025-02
361,6,TV,49543.38,1428330,42573,6322,2025-01
362,4,Email,41012.42,4517280,225829,27695,2024-12
363,2,Display,69975.37,3862539,163919,3775,2025-03
364,7,Email,3198.44,2959643,57910,1440,2025-02
365,5,Search Ads,14282.43,1701814,14389,1945,2024-07
366,10,Display,16016.77,3751261,85356,12686,2025-01
367,5,Search Ads,75835.49,2938076,83731,9193,2024-11
368,7,TV,69623.39,3898481,184030,14251,2024-09
369,8,Influencer,23956.84,4782089,106716,11473,2025-01
370,10,Display,12849.35,53852,2303,333,2025-02
371,5,Social Media,77594.6,4052658,174955,18096,2024-11
372,10,Search Ads,62334.38,265720,6062,864,2024-12
373,7,Email,83156.37,1052610,9376,992,2024-09
374,4,Display,62022.62,1190800,30342,2796,2024-09
375,7,Display,26582.02,4614491,25308,2832,2025-02
376,10,Email,92008.81,1845136,84055,7758,2024-07
377,3,TV,15945.69,3900585,117867,17081,2025-01
378,6,TV,20973.36,917563,15497,490,2024-07
379,2,Email,20105.05,3791025,108327,14089,2024-08
380,7,Display,18486.4,571022,4756,454,2025-02
381,4,Display,23781.7,3514560,103691,4431,2024-11
382,6,Influencer,92817.55,3904023,92542,3241,2024-11
383,5,Social Media,58828.26,4017272,158965,13661,2024-07
384,3,Social Media,52417.15,638931,27007,1791,2024-09
385,9,Display,27187.74,4024248,96743,7121,2024-08
386,6,Search Ads,61775.28,3272251,128341,8928,2024-10
387,8,TV,52172.38,3833379,58332,2097,2024-11
388,8,Display,44355.7,220804,10896,340,2025-02
389,5,Social Media,19872.06,3092598,49770,4734,2024-11
390,6,Display,90471.19,769164,9547,1172,2025-04
391,1,Influencer,54053.79,126219,1627,191,2025-04
392,2,Search Ads,84823.19,1664713,33124,4547,2024-07
393,6,Email,95479.0,4460241,113373,14514,2025-01
394,9,Display,50360.6,482326,2639,215,2024-07
395,9,Social Media,82179.55,841709,41864,5123,2025-03
396,2,Display,46424.91,1617401,28049,3943,2024-10
397,4,Social Media,54343.1,629939,4147,87,2024-08
398,3,Display,37776.49,2888349,112244,12085,2025-03
399,9,Display,3168.93,2751656,64347,1600,2024-10
400,3,Influencer,78849.01,2430083,21506,3111,2024-11
401,10,Social Media,81299.31,2204168,37092,2099,2024-12
402,2,Influencer,50062.03,1405305,22751,2414,2024-10
403,6,Search Ads,57559.89,4043852,95797,8629,2025-03
404,5,Social Media,61001.32,1600742,31573,1148,2025-04
405,4,Social Media,35338.07,3918037,178917,16486,2025-03
406,9,TV,65384.26,1516207,39164,2718,2024-12
407,8,TV,41826.43,3943106,147940,13898,2024-10
408,1,TV,47050.54,3050673,67834,5947,2025-03
409,7,Search Ads,32913.65,3433069,84594,3265,2024-11
410,5,Influencer,53044.95,4644622,230255,15938,2024-07
411,9,Email,13372.24,2776466,129779,13558,2024-09
412,1,Search Ads,66482.89,3156975,146912,5300,2024-09
413,10,Email,81303.0,433597,9303,475,2025-02
414,6,Search Ads,77408.51,4399197,26240,2342,2025-01
415,9,Search Ads,85803.83,3764400,60206,8405,2025-02
416,1,Display,40248.33,146158,3600,397,2024-09
417,8,TV,37249.89,47378,2219,67,2025-04
418,9,TV,17607.65,3393840,165377,5331,2024-07
419,7,TV,61295.15,2743951,126274,14065,2025-04
420,7,Display,61335.43,1525792,24456,2827,2024-10
421,1,Social Media,40577.99,2863045,102795,11696,2025-04
422,3,Social Media,99142.22,4008098,58643,1704,2024-09
423,2,Display,87257.26,1428891,18580,1324,2024-11
424,9,Influencer,67222.62,811500,26638,3481,2024-09
425,1,Influencer,66361.59,2044762,30828,1735,2024-12
426,3,Search Ads,54365.54,2060260,39989,3069,2024-09
427,10,TV,38951.46,3611891,40665,1618,2025-01
428,8,Email,97798.45,3167882,132659,12844,2024-09
429,10,Social Media,66533.97,3559479,50420,4297,2024-09
430,8,Social Media,15663.91,236549,1281,162,2025-01
431,4,TV,3113.26,1649900,13545,387,2024-10
432,9,Social Media,39566.6,1352370,21016,1014,2025-03
433,10,Display,59512.33,2889866,144176,8125,2024-12
434,6,Influencer,82165.69,2833556,34284,4130,2025-04
435,7,Display,44499.75,2929737,17424,2141,2024-08
436,8,TV,23240.21,1125632,49547,5884,2024-07
437,7,Email,58357.0,2008314,19495,1173,2024-11
438,4,Search Ads,91526.27,93768,3433,215,2025-04
439,4,TV,89403.59,4711852,71150,10423,2024-09
440,1,Social Media,81505.75,3563358,75674,9615,2024-09
441,9,Influencer,99965.35,602076,16700,1749,2024-10
442,1,Search Ads,64008.02,2523717,50493,6712,2024-07
443,10,Influencer,76711.09,3260176,84629,11740,2024-08
444,1,Display,65597.81,1712134,30442,2820,2024-07
445,8,Email,39009.3,3327824,26309,909,2025-02
446,1,Display,14731.85,3471159,93115,4426,2025-03
447,6,TV,55100.5,3699240,101088,8348,2024-10
448,1,Display,55257.84,3277138,97404,10680,2024-10
449,9,Social Media,82691.81,2522866,86040,3120,2025-03
450,10,Influencer,61736.5,1723297,17042,2382,2024-09
451,10,TV,88500.28,1683035,62993,5980,2024-12
452,1,Email,25194.71,2538503,27974,2868,2025-01
453,6,Search Ads,41211.25,202776,9794,481,2025-01
454,9,Social Media,45595.08,3269044,68207,2928,2024-12
455,1,Social Media,25041.46,331636,13580,972,2024-11
456,1,Social Media,63063.95,179697,7576,478,2024-08
457,9,TV,89985.86,2875201,14799,1497,2025-02
458,2,Display,17789.89,2287163,101178,3909,2025-02
459,4,TV,35749.8,1099754,47458,3178,2024-12
460,3,Search Ads,83792.26,666860,14414,1220,2025-04
461,5,Search Ads,50094.28,1562408,25514,2047,2024-12
462,6,Influencer,54541.97,814626,26958,2575,2025-02
463,9,Email,75660.54,3605239,178890,5661,2025-01
464,2,Display,68445.62,3150117,69428,9622,2024-07
465,9,Influencer,79543.25,1559689,52924,5610,2024-11
466,10,Email,67431.13,4810992,128728,16434,2024-08
467,6,Search Ads,69703.88,4152660,44382,5302,2025-03
468,3,Search Ads,55528.31,4222322,23089,2519,2024-08
469,3,Social Media,31889.26,329505,11477,456,2024-07
470,10,Social Media,65666.68,4834436,188219,24515,2024-11
471,9,Display,17008.69,3486645,107476,9797,2025-03
472,1,Influencer,18150.07,2660271,41612,2872,2025-04
473,7,Social Media,95515.4,4240740,164052,17148,2025-01
474,8,Influencer,7669.87,998127,34209,4862,2025-03
475,2,Display,66567.97,4496153,167783,18042,2024-09
476,3,Search Ads,39840.12,3387120,110124,9023,2024-10
477,5,Email,87834.78,1919484,89059,7919,2024-11
478,6,Email,40575.43,774760,19928,2289,2025-04
479,2,Display,72970.39,3854917,160935,17455,2024-07
480,2,Email,30160.33,2157976,73291,4414,2024-10
481,9,Search Ads,39229.24,1030403,17099,2242,2024-08
482,9,Social Media,91529.63,1933015,22811,2941,2025-01
483,6,Display,80480.27,343274,6377,611,2024-08
484,1,Display,2106.64,499489,23273,852,2025-01
485,5,TV,51737.31,2960051,24230,3248,2024-07
486,1,Email,64439.33,3573725,64174,9609,2025-03
487,3,Influencer,76694.89,2424878,116466,7583,2024-09
488,9,Influencer,99296.79,1185459,39111,4815,2025-03
489,5,Influencer,8463.05,3556140,168280,12827,2025-02
490,3,Email,17066.42,2273337,65052,3384,2025-04
491,2,Search Ads,32842.84,2527037,92146,6224,2024-10
492,4,Email,91592.37,2960214,92196,11095,2024-12
493,9,Social Media,78961.35,1578918,63268,2969,2025-03
494,8,Email,49381.71,3342825,105622,7374,2025-01
495,3,Email,56627.83,1150685,44608,4535,2025-02
496,10,Display,41245.32,278705,7318,460,2024-12
497,5,Display,84363.27,620604,8402,521,2024-10
498,7,Social Media,42896.86,3552274,170463,5712,2025-01
499,5,Display,15607.2,2402021,100759,9744,2024-09
500,8,Display,79015.29,1143829,21745,1346,2025-04
501,2,Social Media,59143.21,4491699,178398,15152,2025-04
